sequence1,1
sequence2,2
sequence3,1
sequence4,1
sequence5,1
sequence6,1
sequence7,3
sequence8,2
sequence9,1
sequence10,1
sequence11,1
sequence12,3
sequence13,2
sequence14,1
sequence15,1
sequence16,1
sequence17,1
sequence18,1
sequence19,1
sequence20,1
sequence21,1
sequence22,1
sequence23,1
sequence24,1
sequence25,1
sequence26,1
sequence27,2
sequence28,1
sequence29,2
sequence30,1
sequence31,1
sequence32,1
sequence33,1
sequence34,2
sequence35,1
sequence36,2
sequence37,2
sequence38,2
sequence39,1
sequence40,1
