sequence1,1
sequence2,1
sequence3,4
sequence4,1
sequence5,3
sequence6,5
sequence7,2
sequence8,2
sequence9,6
sequence10,2
sequence11,1
sequence12,1
sequence13,1
sequence14,1
sequence15,2
sequence16,1
sequence17,1
sequence18,1
sequence19,3
sequence20,2
sequence21,1
sequence22,2
sequence23,1
sequence24,1
sequence25,2
sequence26,2
sequence27,1
sequence28,1
sequence29,1
sequence30,1
sequence31,1
sequence32,1
sequence33,2
sequence34,1
sequence35,1
sequence36,10
sequence37,5
sequence38,1
sequence39,1
sequence40,1
sequence41,3
sequence42,1
sequence43,2
sequence44,3
sequence45,2
sequence46,4
sequence47,2
sequence48,1
sequence49,1
sequence50,2
sequence51,1
sequence52,3
sequence53,1
sequence54,1
sequence55,1
