sequence1,2
sequence2,2
sequence3,1
sequence4,1
sequence5,1
sequence6,1
sequence7,1
sequence8,3
sequence9,4
sequence10,4
sequence11,3
sequence12,1
sequence13,1
sequence14,1
sequence15,1
sequence16,1
sequence17,1
sequence18,1
sequence19,3
sequence20,1
sequence21,1
sequence22,2
sequence23,3
sequence24,1
sequence25,2
sequence26,4
sequence27,1
sequence28,1
sequence29,1
sequence30,1
sequence31,1
sequence32,1
sequence33,1
sequence34,1
sequence35,2
sequence36,1
sequence37,4
sequence38,1
sequence39,3
sequence40,3
sequence41,6
sequence42,2
sequence43,1
sequence44,2
sequence45,1
sequence46,1
sequence47,1
sequence48,1
sequence49,1
sequence50,1
sequence51,5
sequence52,3
sequence53,1
sequence54,1
sequence55,2
sequence56,6
sequence57,1
sequence58,2
sequence59,2
