sequence1,1
sequence2,1
sequence3,3
sequence4,1
sequence5,1
sequence6,2
sequence7,2
sequence8,1
sequence9,1
sequence10,4
sequence11,1
sequence12,4
sequence13,1
sequence14,1
sequence15,3
sequence16,1
sequence17,1
sequence18,1
sequence19,1
sequence20,3
sequence21,2
sequence22,1
sequence23,1
sequence24,2
sequence25,1
sequence26,1
sequence27,1
sequence28,1
sequence29,1
sequence30,1
sequence31,1
sequence32,2
sequence33,4
sequence34,2
sequence35,1
sequence36,1
sequence37,1
sequence38,1
sequence39,1
