sequence1,2
sequence2,1
sequence3,1
sequence4,1
sequence5,1
sequence6,1
sequence7,1
sequence8,1
sequence9,1
sequence10,2
sequence11,1
sequence12,2
sequence13,1
sequence14,1
sequence15,1
sequence16,2
sequence17,1
sequence18,1
sequence19,1
sequence20,2
sequence21,1
sequence22,3
sequence23,1
sequence24,2
sequence25,1
sequence26,1
sequence27,1
sequence28,1
sequence29,1
sequence30,1
sequence31,1
sequence32,1
sequence33,1
sequence34,1
sequence35,2
sequence36,7
sequence37,1
sequence38,1
sequence39,1
sequence40,1
sequence41,2
sequence42,3
sequence43,3
sequence44,4
sequence45,1
sequence46,4
sequence47,1
