sequence1,3
sequence2,1
sequence3,1
sequence4,1
sequence5,1
sequence6,3
sequence7,1
sequence8,1
sequence9,1
sequence10,1
sequence11,1
sequence12,3
sequence13,2
sequence14,1
sequence15,1
sequence16,1
sequence17,1
sequence18,1
sequence19,1
sequence20,1
sequence21,1
sequence22,1
sequence23,1
sequence24,1
sequence25,1
sequence26,1
sequence27,1
sequence28,1
sequence29,1
sequence30,1
sequence31,1
sequence32,4
sequence33,2
sequence34,1
sequence35,2
sequence36,2
sequence37,1
sequence38,3
sequence39,1
sequence40,3
sequence41,1
