sequence,count,Browser,Location
sequence1,1,Trident,usa
sequence2,1,Safari,usa
sequence3,1,Safari,usa
sequence4,1,Trident,usa
sequence5,1,Firefox,usa
sequence6,1,Firefox,usa
sequence7,1,Trident,usa
sequence8,1,Safari,usa
sequence9,1,Safari,usa
sequence10,1,Firefox,usa
sequence11,1,Safari,usa
sequence12,1,Trident,usa
sequence13,1,Safari,usa
sequence14,1,Firefox,usa
sequence15,1,Safari,usa
sequence16,1,Safari,usa
sequence17,1,Safari,usa
sequence18,1,Safari,usa
sequence19,1,Safari,usa
sequence20,1,Firefox,usa
sequence21,1,Firefox,usa
sequence22,1,Firefox,usa
sequence23,1,Trident,usa
